reflection_id,reflection_text,what_score,why_score,how_score,overall_score,topic
R001,"In class today, we focused on high-alert medications as defined by ISMP — specifically the top 10 list including insulin, anticoagulants such as warfarin and heparin, opioids, concentrated electrolytes like potassium chloride, and chemotherapy agents. We discussed how these drugs require additional safeguards not because errors are more frequent, but because the consequences are more devastating when they do occur. We also reviewed specific strategies like independent double checks, standardized concentrations, and removing concentrated potassium from floor stock. This topic is critically important to me because it challenges my prior assumption that all medications carry equal risk. I had not fully appreciated how certain drugs — if given at the wrong dose or to the wrong patient — can cause immediate, irreversible harm. The ISMP framework gave me a more nuanced understanding of risk stratification, which I believe will fundamentally change how I approach dispensing. I was also struck by how systemic changes — like removing high-alert medications from unit stock — can be more effective than relying on individual vigilance alone. During my upcoming internship rotation at a hospital pharmacy, I will create a personal reference card listing the site-specific high-alert medications and the required double-check protocols. I will also ask my preceptor to walk me through a real example of how an independent double check is performed at that site, so I understand the workflow rather than just the concept.",2,2,2,6,High-Alert Medications
R002,"Today's class covered the ISMP high-alert medication list and the rationale for why specific categories of drugs — particularly concentrated electrolytes, insulin, anticoagulants, opioids, and neuromuscular blocking agents — warrant enhanced safeguards. We reviewed case studies involving patients who received 10-fold insulin overdoses or potassium chloride IV pushes and the fatal outcomes that followed. We also discussed the difference between error prevention (stopping mistakes) and harm reduction (minimizing impact when errors occur). Understanding high-alert medications is fundamental to my development as a pharmacist because it shifts my mindset from general carefulness to targeted vigilance. The cases we reviewed showed that errors involving these drugs often follow predictable patterns — look-alike packaging, unclear labeling, unit-of-measure confusion — which means they are largely preventable through system design. Knowing which drugs are on this list will help me prioritize where to focus my attention. In the future, I will try to be more careful when handling these medications and make sure I follow safety protocols at my internship site.",2,2,1,5,High-Alert Medications
R003,"This week's session introduced the concept of high-alert medications, including the ISMP classification system and the specific categories most commonly associated with serious patient harm. We reviewed strategies like tall man lettering, physical separation on shelves, and limit-access storage for drugs like concentrated potassium chloride and neuromuscular blocking agents. We also practiced identifying high-alert status using the ISMP website. Patient safety is a core part of pharmacy practice and knowing about high-alert medications is important for preventing harm. These are drugs that we will encounter regularly, and I know I should be more careful with them than others. When I start my clinical rotations, I will ask my preceptor on the first day to show me where high-alert medications are stored, what the site-specific safeguards are, and whether I am allowed to participate in independent double checks. I will also set aside time each week to review one ISMP alert or case report to build my knowledge of current safety issues.",2,1,2,5,High-Alert Medications
R004,"We covered the topic of high-alert medications in class and learned about how they are categorized. The class also reviewed some safety strategies that hospitals and pharmacies use. The details of specific drug categories were discussed as examples. This topic matters deeply to me personally because of an experience I had during shadowing, where I saw a nurse almost give an undiluted potassium chloride injection because it was stored adjacent to a saline flush. The patient was fortunately not harmed, but that moment stayed with me. It made me realize how real these risks are — not abstract, not just in textbooks. The system had failed that nurse before she even touched the vial. During my internship, I plan to proactively audit the drug storage areas I work in, focusing specifically on where high-alert medications are kept relative to similar-looking or similarly-packaged drugs. If I find anything concerning, I will document it using the site's safety reporting system and bring it to my preceptor.",1,2,2,5,High-Alert Medications
R005,"In today's session, we went through the ISMP high-alert medication list in detail, including the top-tier categories such as concentrated electrolytes, insulin, anticoagulants, and chemotherapy. We reviewed how errors with these medications differ in impact rather than frequency, and why extra safeguards are justified. Case examples involving insulin dosing confusion between U-100 and U-500 formulations were particularly memorable. High-alert medications are important to know about as a pharmacist because they carry serious risk of patient harm. It is part of our responsibility to make sure these drugs are handled carefully. I want to make sure I remember this going forward in my career.",2,1,0,3,High-Alert Medications
R006,In class we discussed the topic of high-alert medications and how they are different from other drugs. We learned about the ISMP list and some examples of medications that require extra care. Safety is important in pharmacy and these medications can cause significant harm if used incorrectly. I will keep this in mind as I continue my training and try to apply these safety principles at my internship.,1,1,1,3,High-Alert Medications
R007,Today's class was about medication safety. We talked about some types of drugs that are particularly risky. Patient safety is a key responsibility for pharmacists. I will try to do my best when working with any medications.,0,1,0,1,High-Alert Medications
R008,Today we covered an important pharmacy topic. I learned some things about how drugs can be dangerous. I will try to remember this for my career.,0,0,0,0,High-Alert Medications
R009,"In today's class, we did a deep dive into look-alike/sound-alike (LASA) drugs, focusing on the cognitive mechanisms behind LASA errors — specifically confirmation bias, top-down processing, and the speed-accuracy tradeoff in busy dispensing environments. We reviewed real ISMP error reports involving confusion between hydromorphone and morphine, vinCRIStine and vinBLAStine, and clonidine and clonazepam. We also learned about systematic safeguards including tall man lettering, barcode medication administration (BCMA), visual alerts in pharmacy software, and physical separation on shelving. This session challenged my assumption that LASA errors are primarily caused by inattention or individual carelessness. Instead, I now understand that they are largely driven by predictable cognitive shortcuts that everyone uses — making systemic safeguards essential rather than optional. As someone who has worked in a retail pharmacy where multiple generic formulations of similar drugs are shelved together, I can now see exactly how these errors happen. I was also struck by the fact that LASA errors persist even with electronic systems, because barcode scanning is sometimes bypassed under time pressure. During my next internship rotation, I will specifically observe how LASA medications are stored and labeled at the site, and ask my preceptor about the most common LASA pairs encountered there. I will create a site-specific LASA reference and use it during every dispensing verification step.",2,2,2,6,LASA Drugs
R010,"Today we studied look-alike/sound-alike medications, reviewing the ISMP list of high-risk LASA pairs and the specific mechanisms by which these errors occur in dispensing, transcription, and administration. We discussed how tall man lettering works by emphasizing letter differences to slow down reading and reduce confirmation bias — for example, DOBUTamine vs. DOPamine. We also examined cases where sound-alike drug names caused errors during verbal orders, such as between Celebrex and Celexa or between Xanax and Zantac. Understanding LASA medications is central to safe pharmacy practice because it shows that even well-trained professionals can make mistakes when the environment is designed in a way that exploits normal cognitive patterns. This is not about individual failure — it is about system design. Learning about tall man lettering and barcode systems showed me that clever, simple interventions can meaningfully reduce error rates without relying on individual heroics. I will pay attention to LASA pairs in my future practice and try to use the safeguards that are in place.",2,2,1,5,LASA Drugs
