Reflection ID,Reflection,Score 1 (WHAT),Score 2 (WHY),Score 3 (HOW),Overall Score
DS-37a,"This week's session focused specifically on oncology drug shortages — particularly the recurring shortages of cisplatin, carboplatin, fluorouracil, methotrexate, and vincristine that have disrupted curative-intent regimens in U.S. cancer care over the past decade. I learned that oncology shortages are uniquely consequential because chemotherapy regimens are protocol-driven, evidence-based, dose-and-schedule combinations, and any substitution or dose reduction has the potential to reduce cure rates in both solid tumors and hematologic malignancies. We reviewed NCCN's oncology drug shortage guidelines, which categorize substitutions by clinical equivalence and recommend specific decision pathways depending on whether the regimen is curative-intent or palliative. The class also walked through the 2019 vincristine shortage that forced pediatric oncology programs to substitute vinblastine in protocols where vincristine had been the standard for decades, despite differences in pharmacokinetics, neurotoxicity profiles, and supporting trial evidence. Oncology pharmacists at affected institutions became central decision-makers in regimen modification, working alongside oncologists, pharmacy leadership, and ethics committees.

This learning shifted my picture of pharmacy's role in oncology in a meaningful way. I had been thinking of oncology pharmacy primarily as a clinical and operational discipline — verification, compounding, counseling. The session reframed it as a discipline that, during shortage periods, sits at the intersection of clinical reasoning, regimen science, and difficult patient-allocation conversations. The personal piece for me was a sharper appreciation that the pharmacist's reasoning during a shortage is not abstract — it is the deciding factor in which patient receives which substitution and what the expected impact on their cancer outcome will be. That responsibility is significant, and it is part of why oncology pharmacy is one of the most demanding clinical practice areas in pharmacy.

Going forward, I will apply this learning by: (1) requesting an oncology pharmacy rotation during my advanced experiential year with a specific focus on shortage management, ideally at an institution that has navigated a recent major shortage; (2) reading NCCN's most recent shortage management guidance and ASCO's published statements on chemotherapy substitution during shortage so I am fluent in the published frameworks before I am responsible for applying them; and (3) shadowing at least one chemotherapy regimen modification meeting during my rotation where shortage drives the decision, so I see how the actual clinical reasoning is structured rather than relying on what I imagine it should look like.",2,2,2,6
DS-37b,"This week we discussed oncology drug shortages, including how shortages of curative chemotherapy agents like cisplatin, carboplatin, methotrexate, and vincristine affect treatment outcomes. Substitutions can reduce cure rates and force protocol modifications. We also covered NCCN's published shortage management guidelines and the role of oncology pharmacists in deciding which patients receive substitutions. This is important to me because oncology shortages have direct outcome consequences in a way that few other shortages do — a patient who gets a substituted regimen may have a worse cancer outcome than they would have had with the original agent. At my future practice, I will be more aware of how oncology shortages move through the institution and how decisions are made. I plan to do an oncology rotation during my advanced experiential year and pay attention to shortage management workflows.",2,1,1,4
DS-37c,Cancer drugs sometimes run out and this is a problem. Oncology pharmacists have to figure out what to do. I will keep this in mind for my career.,1,0,0,1
DS-38a,"This session focused on shortages of pediatric drug formulations — liquid suspensions, oral solutions, lower-strength tablets, and weight-appropriate concentrations — which are uniquely challenging because pediatric markets are too small to attract redundant manufacturers. I learned that pediatric oncology drugs (vincristine, actinomycin, cytarabine in some forms), pediatric antiretrovirals, pediatric antiepileptics, and pediatric formulations of common drugs like albuterol nebulizer solution have all been disproportionately affected by recent shortages. We reviewed how compounding from adult tablets is often the only workaround when a commercial pediatric suspension is unavailable, and how that workaround introduces its own safety risks: variable potency, palatability problems that affect adherence, beyond-use dating limitations, and the sterility considerations that apply if the compound must be sterile. The class also covered the role of the Children's Hospital Association and ASHP's pediatric pharmacy section in advocating for federal incentives that would reduce pediatric formulation shortage exposure, including pediatric exclusivity extensions tied to formulation availability.

What this clarified for me is that pediatric pharmacy practice has structural shortage exposure that adult pharmacy doesn't, and that the workarounds available are themselves clinically meaningful interventions rather than neutral substitutions. I had been thinking about shortages somewhat generically, assuming that pharmacist creativity and compounding could bridge most gaps. Today's session corrected that — for pediatric patients, every workaround imposes a different risk profile, and recognizing this is part of being a competent pediatric pharmacist rather than an enthusiastic one. The personal piece was understanding that as a future pharmacist, particularly if I work in any setting that serves pediatric patients (community pharmacy near a children's hospital, retail pharmacy with pediatric prescribers, hospital pharmacy with a pediatric service), I will need to be unusually proactive about shortage tracking and have substitute counseling ready before the shortage hits the dispensing window.

Going forward, I will apply this learning by: (1) bookmarking the ASHP Pediatric Pharmacy and the Children's Hospital Association pediatric drug shortage resources and reviewing them weekly during any rotation involving pediatric patients; (2) on any pediatric or pediatrics-adjacent rotation, asking my preceptor to walk me through the institution's pediatric compounding standard formulas for shortage-driven products and the specific BUD assignments and stability considerations behind each; and (3) committing to one detailed counseling session with a parent on a shortage-substituted pediatric medication during my training, so I have practiced the conversation about why the substitute is being used, what to watch for, and when to call before I am responsible for it independently.",2,2,2,6
DS-38b,"Today we discussed pediatric formulation shortages. Pediatric markets are small, so there are fewer manufacturers and shortages happen more often. Compounding from adult tablets is sometimes the only workaround, but compounding has its own risks including variable potency and stability questions. The Children's Hospital Association and ASHP's pediatric section advocate for federal incentives. This matters to me because pediatric patients can't substitute as easily as adult patients. I will be aware of pediatric shortages on any rotation involving children.",2,1,1,4
DS-38c,Children's medications can be in shortage. Compounding is sometimes used. This is important for pediatric pharmacy.,1,1,0,2
DS-39a,"This week's class focused on anesthesia drug shortages — propofol, succinylcholine, midazolam, fentanyl, and rocuronium — and their downstream impact on operating-room scheduling, ICU sedation, and emergency procedures. I learned that anesthesia shortages have been so persistent over the past decade that some institutions have developed pre-built tier substitution lists for every common agent, with second-line and third-line options pre-vetted by the anesthesia department and the pharmacy. The class walked through a case where a sustained propofol shortage forced an institution to use ketamine-based sedation in the ICU, and the institution only caught the increase in delirium incidence because the pharmacy team had built a balancing measure into the substitution policy from the start. We also discussed how anesthesia shortages disproportionately affect pediatric anesthesia (where dose-volume calculations are tight and substitutes may not have pediatric labeling), how the OR and pre-anesthesia testing communicate with the central pharmacy during ongoing shortages, and how scheduled vs urgent vs emergency procedures get prioritized when supply is constrained.

The personal piece for me was understanding how invisible the pharmacy team's shortage work is to surgeons and anesthesiologists in real time, and how much of the substitution policy depends on the pharmacy team identifying balancing-measure consequences before they become incidents. The propofol-to-ketamine delirium case was instructive — the substitution worked from a procurement standpoint, but the clinical balancing measure was what told the team they had a problem worth tracking. Without that, the institution would have absorbed weeks of additional ICU days and patient delirium without recognizing the pattern. I had not previously appreciated how much pharmacy's clinical credibility in the OR setting depends on this kind of upstream analytical work that the surgical team never sees directly.

Going forward, I will apply this learning by: (1) requesting a shadowing session with the OR pharmacist on my hospital rotation, with a specific ask to see the institution's anesthesia substitution policy and the most recent balancing-measure data; (2) reviewing the institution's published anesthesia shortage workflow if one exists, and identifying any agents currently in short supply where I might need to know the substitution pathway; and (3) tracking one substitution's balancing measures during my rotation — including any clinical metric the institution monitors for that substitute — so I can see the analytical structure rather than just the procurement decision.",2,2,2,6
DS-39b,"Today's session covered anesthesia drug shortages including propofol, succinylcholine, and midazolam. These shortages affect operating-room scheduling and ICU sedation. Some hospitals have built pre-vetted substitution lists. We discussed a case where propofol substitution with ketamine increased delirium rates, which the pharmacy team caught only because they had built balancing measures. I will pay attention to anesthesia shortages on my hospital rotation.",2,1,0,3
DS-39c,Anesthesia drugs run out sometimes. This affects surgeries and the ICU. I will think about this.,1,0,0,1
DS-40a,"This session covered vaccine shortages during pandemic response — drawing primarily on the COVID-19 vaccine rollout, the 2009 H1N1 vaccine constraints, and the recent RSV vaccine bottleneck for pediatric and older-adult populations. I learned that vaccine shortages differ structurally from drug shortages because vaccines are typically allocated through CDC's Advisory Committee on Immunization Practices (ACIP) priorities and federal allocation frameworks rather than through market mechanisms. This means pharmacy's role during pandemic vaccine constraint shifts from substitution and clinical reasoning toward allocation execution, recordkeeping, and equity attention. The class walked through how immunization-providing community pharmacies became central to the COVID-19 vaccine equity conversation in 2021, and how the federal allocation framework operationalized through state immunization registries, chain pharmacy partnerships, and the Federal Retail Pharmacy Program. We also discussed the operational reality of pandemic vaccine pharmacy work: scheduled appointments rather than walk-ins, specific cold-chain requirements (especially for early mRNA vaccines), strict documentation requirements for VAERS, and the public-facing communication challenges when supply is constrained but demand is high.

What this clarified for me is that pandemic vaccine allocation makes pharmacists into a public-health workforce in a way that even routine immunization practice doesn't fully capture. Routine immunization is delivered patient-by-patient based on individual eligibility; pandemic immunization is delivered against ACIP priorities under federal allocation, and the pharmacist becomes a node in an explicit public-health response. The personal piece for me was a clearer sense of professional responsibility — when the next pandemic arrives, the pharmacy I work in will participate in the public-health response whether or not the pharmacy has prepared for that role, and pharmacists who have done the preparatory work will be the ones who can execute well rather than improvise.

I will apply this learning by: (1) reading the CDC's COVID-19 vaccination program after-action review and the Federal Retail Pharmacy Program lessons-learned document so I understand what worked and what didn't from the most recent pandemic; (2) signing up for my state's pharmacy emergency-preparedness alerts and any immunization-program updates so I am notified about preparedness drills and pre-pandemic planning rather than discovering them mid-emergency; and (3) reviewing one ACIP vaccine priority document in detail to learn the allocation framework — the categorical priority groups, how they get translated into eligibility criteria, and how the criteria evolve as supply increases.",2,2,2,6
