reflection_id,dimension,rank,sentence,similarity,is_exact_match,true_score
R001,what,1,This topic is critically important to me because it challenges my prior assumption that all medications carry equal risk.,0.1522,True,2
R001,what,2,"I had not fully appreciated how certain drugs — if given at the wrong dose or to the wrong patient — can cause immediate, irreversible harm.",0.1416,True,2
R001,what,3,"We discussed how these drugs require additional safeguards not because errors are more frequent, but because the consequences are more devastating when they do occur.",0.1211,True,2
R001,why,1,I was also struck by how systemic changes — like removing high-alert medications from unit stock — can be more effective than relying on individual vigilance alone.,0.2418,True,2
R001,why,2,This topic is critically important to me because it challenges my prior assumption that all medications carry equal risk.,0.2402,True,2
R001,why,3,"We discussed how these drugs require additional safeguards not because errors are more frequent, but because the consequences are more devastating when they do occur.",0.2266,True,2
R001,how,1,"During my upcoming internship rotation at a hospital pharmacy, I will create a personal reference card listing the site-specific high-alert medications and the required double-check protocols.",0.4782,True,2
R001,how,2,"I had not fully appreciated how certain drugs — if given at the wrong dose or to the wrong patient — can cause immediate, irreversible harm.",0.3618,True,2
R001,how,3,This topic is critically important to me because it challenges my prior assumption that all medications carry equal risk.,0.3336,True,2
R002,what,1,Understanding high-alert medications is fundamental to my development as a pharmacist because it shifts my mindset from general carefulness to targeted vigilance.,0.1836,True,2
R002,what,2,We also discussed the difference between error prevention (stopping mistakes) and harm reduction (minimizing impact when errors occur).,0.1829,True,2
R002,what,3,Knowing which drugs are on this list will help me prioritize where to focus my attention.,0.1151,True,2
R002,why,1,Understanding high-alert medications is fundamental to my development as a pharmacist because it shifts my mindset from general carefulness to targeted vigilance.,0.2995,True,2
R002,why,2,Knowing which drugs are on this list will help me prioritize where to focus my attention.,0.2381,True,2
R002,why,3,We also discussed the difference between error prevention (stopping mistakes) and harm reduction (minimizing impact when errors occur).,0.22,True,2
R002,how,1,"In the future, I will try to be more careful when handling these medications and make sure I follow safety protocols at my internship site.",0.4504,True,1
R002,how,2,Understanding high-alert medications is fundamental to my development as a pharmacist because it shifts my mindset from general carefulness to targeted vigilance.,0.3951,True,1
R002,how,3,Knowing which drugs are on this list will help me prioritize where to focus my attention.,0.3806,True,1
R003,what,1,Patient safety is a core part of pharmacy practice and knowing about high-alert medications is important for preventing harm.,0.177,True,2
R003,what,2,"This week's session introduced the concept of high-alert medications, including the ISMP classification system and the specific categories most commonly associated with serious patient harm.",0.0988,True,2
R003,what,3,"When I start my clinical rotations, I will ask my preceptor on the first day to show me where high-alert medications are stored, what the site-specific safeguards are, and whether I am allowed to participate in independent double checks.",0.0898,True,2
R003,why,1,Patient safety is a core part of pharmacy practice and knowing about high-alert medications is important for preventing harm.,0.2504,True,1
R003,why,2,"This week's session introduced the concept of high-alert medications, including the ISMP classification system and the specific categories most commonly associated with serious patient harm.",0.1381,True,1
R003,why,3,I will also set aside time each week to review one ISMP alert or case report to build my knowledge of current safety issues.,0.1236,True,1
R003,how,1,Patient safety is a core part of pharmacy practice and knowing about high-alert medications is important for preventing harm.,0.4191,True,2
R003,how,2,"When I start my clinical rotations, I will ask my preceptor on the first day to show me where high-alert medications are stored, what the site-specific safeguards are, and whether I am allowed to participate in independent double checks.",0.3256,True,2
R003,how,3,"We reviewed strategies like tall man lettering, physical separation on shelves, and limit-access storage for drugs like concentrated potassium chloride and neuromuscular blocking agents.",0.2993,True,2
R004,what,1,We covered the topic of high-alert medications in class and learned about how they are categorized.,0.3152,True,1
R004,what,2,"It made me realize how real these risks are — not abstract, not just in textbooks.",0.2767,True,1
R004,what,3,The details of specific drug categories were discussed as examples.,0.268,True,1
R004,why,1,"It made me realize how real these risks are — not abstract, not just in textbooks.",0.3786,True,2
R004,why,2,We covered the topic of high-alert medications in class and learned about how they are categorized.,0.3502,True,2
R004,why,3,The class also reviewed some safety strategies that hospitals and pharmacies use.,0.2056,True,2
R004,how,1,The class also reviewed some safety strategies that hospitals and pharmacies use.,0.4837,True,2
R004,how,2,We covered the topic of high-alert medications in class and learned about how they are categorized.,0.4526,True,2
R004,how,3,"During my internship, I plan to proactively audit the drug storage areas I work in, focusing specifically on where high-alert medications are kept relative to similar-looking or similarly-packaged drugs.",0.4174,True,2
R005,what,1,I want to make sure I remember this going forward in my career.,0.2402,True,2
R005,what,2,High-alert medications are important to know about as a pharmacist because they carry serious risk of patient harm.,0.1377,True,2
R005,what,3,Case examples involving insulin dosing confusion between U-100 and U-500 formulations were particularly memorable.,0.0831,True,2
R005,why,1,I want to make sure I remember this going forward in my career.,0.2659,True,1
R005,why,2,High-alert medications are important to know about as a pharmacist because they carry serious risk of patient harm.,0.2275,True,1
R005,why,3,"We reviewed how errors with these medications differ in impact rather than frequency, and why extra safeguards are justified.",0.1727,True,1
R005,how,1,High-alert medications are important to know about as a pharmacist because they carry serious risk of patient harm.,0.4054,True,0
R005,how,2,It is part of our responsibility to make sure these drugs are handled carefully.,0.3365,True,0
R005,how,3,Case examples involving insulin dosing confusion between U-100 and U-500 formulations were particularly memorable.,0.2924,True,0
R006,what,1,I will keep this in mind as I continue my training and try to apply these safety principles at my internship.,0.31,True,1
R006,what,2,In class we discussed the topic of high-alert medications and how they are different from other drugs.,0.2086,True,1
R006,what,3,We learned about the ISMP list and some examples of medications that require extra care.,0.1806,True,1
R006,why,1,I will keep this in mind as I continue my training and try to apply these safety principles at my internship.,0.2895,True,1
R006,why,2,In class we discussed the topic of high-alert medications and how they are different from other drugs.,0.2489,True,1
R006,why,3,We learned about the ISMP list and some examples of medications that require extra care.,0.2277,True,1
R006,how,1,In class we discussed the topic of high-alert medications and how they are different from other drugs.,0.3846,True,1
R006,how,2,Safety is important in pharmacy and these medications can cause significant harm if used incorrectly.,0.3677,True,1
R006,how,3,We learned about the ISMP list and some examples of medications that require extra care.,0.3175,True,1
R007,what,1,Today's class was about medication safety.,0.2329,True,0
R007,what,2,Patient safety is a key responsibility for pharmacists.,0.1761,True,0
R007,what,3,I will try to do my best when working with any medications.,0.0947,True,0
R007,why,1,Today's class was about medication safety.,0.2097,True,1
R007,why,2,Patient safety is a key responsibility for pharmacists.,0.1979,True,1
R007,why,3,I will try to do my best when working with any medications.,0.1661,True,1
R007,how,1,Patient safety is a key responsibility for pharmacists.,0.4658,True,0
R007,how,2,Today's class was about medication safety.,0.4342,True,0
R007,how,3,We talked about some types of drugs that are particularly risky.,0.3335,True,0
R008,what,1,I learned some things about how drugs can be dangerous.,0.4165,True,0
R008,what,2,I will try to remember this for my career.,0.2525,True,0
R008,what,3,Today we covered an important pharmacy topic.,0.1604,True,0
R008,why,1,I learned some things about how drugs can be dangerous.,0.4316,True,0
R008,why,2,I will try to remember this for my career.,0.295,True,0
R008,why,3,Today we covered an important pharmacy topic.,0.183,True,0
R008,how,1,Today we covered an important pharmacy topic.,0.5481,True,0
R008,how,2,I learned some things about how drugs can be dangerous.,0.3624,True,0
R008,how,3,I will try to remember this for my career.,0.248,True,0
R009,what,1,"We also learned about systematic safeguards including tall man lettering, barcode medication administration (BCMA), visual alerts in pharmacy software, and physical separation on shelving.",0.2602,True,2
R009,what,2,"Instead, I now understand that they are largely driven by predictable cognitive shortcuts that everyone uses — making systemic safeguards essential rather than optional.",0.2412,True,2
R009,what,3,This session challenged my assumption that LASA errors are primarily caused by inattention or individual carelessness.,0.1806,True,2
R009,why,1,"Instead, I now understand that they are largely driven by predictable cognitive shortcuts that everyone uses — making systemic safeguards essential rather than optional.",0.4175,True,2
R009,why,2,"We also learned about systematic safeguards including tall man lettering, barcode medication administration (BCMA), visual alerts in pharmacy software, and physical separation on shelving.",0.2869,True,2
R009,why,3,"In today's class, we did a deep dive into look-alike/sound-alike (LASA) drugs, focusing on the cognitive mechanisms behind LASA errors — specifically confirmation bias, top-down processing, and the speed-accuracy tradeoff in busy dispensing environments.",0.2453,True,2
R009,how,1,"We also learned about systematic safeguards including tall man lettering, barcode medication administration (BCMA), visual alerts in pharmacy software, and physical separation on shelving.",0.3713,True,2
R009,how,2,"During my next internship rotation, I will specifically observe how LASA medications are stored and labeled at the site, and ask my preceptor about the most common LASA pairs encountered there.",0.3195,True,2
R009,how,3,"As someone who has worked in a retail pharmacy where multiple generic formulations of similar drugs are shelved together, I can now see exactly how these errors happen.",0.2823,True,2
R010,what,1,Understanding LASA medications is central to safe pharmacy practice because it shows that even well-trained professionals can make mistakes when the environment is designed in a way that exploits normal cognitive patterns.,0.3329,True,2
R010,what,2,"Learning about tall man lettering and barcode systems showed me that clever, simple interventions can meaningfully reduce error rates without relying on individual heroics.",0.1868,True,2
R010,what,3,"We discussed how tall man lettering works by emphasizing letter differences to slow down reading and reduce confirmation bias — for example, DOBUTamine vs. DOPamine.",0.1455,True,2
R010,why,1,Understanding LASA medications is central to safe pharmacy practice because it shows that even well-trained professionals can make mistakes when the environment is designed in a way that exploits normal cognitive patterns.,0.3793,True,2
R010,why,2,"Learning about tall man lettering and barcode systems showed me that clever, simple interventions can meaningfully reduce error rates without relying on individual heroics.",0.2877,True,2
R010,why,3,"We discussed how tall man lettering works by emphasizing letter differences to slow down reading and reduce confirmation bias — for example, DOBUTamine vs. DOPamine.",0.209,True,2
R010,how,1,Understanding LASA medications is central to safe pharmacy practice because it shows that even well-trained professionals can make mistakes when the environment is designed in a way that exploits normal cognitive patterns.,0.4754,True,1
R010,how,2,"We also examined cases where sound-alike drug names caused errors during verbal orders, such as between Celebrex and Celexa or between Xanax and Zantac.",0.1796,True,1
R010,how,3,"Learning about tall man lettering and barcode systems showed me that clever, simple interventions can meaningfully reduce error rates without relying on individual heroics.",0.1786,True,1
R011,what,1,LASA errors are an important topic for pharmacists to understand.,0.2156,True,2
R011,what,2,"Many of these errors have resulted in patient harm, and knowing about them is part of our professional responsibility.",0.1965,True,2
R011,what,3,"I also plan to speak with my preceptor about what verbal order protocols are in place at the site to prevent sound-alike confusion, and observe how these are handled in practice.",0.1731,True,2
R011,why,1,"Many of these errors have resulted in patient harm, and knowing about them is part of our professional responsibility.",0.2444,True,1
R011,why,2,"I also plan to speak with my preceptor about what verbal order protocols are in place at the site to prevent sound-alike confusion, and observe how these are handled in practice.",0.2306,True,1
R011,why,3,LASA errors are an important topic for pharmacists to understand.,0.2081,True,1
R011,how,1,LASA errors are an important topic for pharmacists to understand.,0.327,True,2
R011,how,2,"This week's class covered look-alike/sound-alike drug errors in depth, including the use of ISMP's LASA drug list, the role of pharmacy software in generating LASA warnings, and case studies of patient harm caused by LASA mix-ups.",0.3107,True,2
R011,how,3,I will apply this knowledge by memorizing the most critical LASA pairs on the ISMP list and setting them as pop-up alerts on whatever pharmacy system I use during rotations.,0.2836,True,2
R012,what,1,"That experience, combined with what I learned in class about confirmation bias, changed how I think about my own cognitive vulnerabilities.",0.3208,True,1
R012,what,2,We also talked about strategies for preventing these types of mistakes.,0.2351,True,1
R012,what,3,We discussed look-alike and sound-alike drugs in class today and reviewed some examples of errors that have occurred.,0.1553,True,1
R012,why,1,"That experience, combined with what I learned in class about confirmation bias, changed how I think about my own cognitive vulnerabilities.",0.369,True,2
R012,why,2,We also talked about strategies for preventing these types of mistakes.,0.2653,True,2
R012,why,3,We discussed look-alike and sound-alike drugs in class today and reviewed some examples of errors that have occurred.,0.179,True,2
R012,how,1,"This topic resonated with me because during a community pharmacy internship last summer, I nearly reached for amlodipine 10 mg instead of amiloride 5 mg during a busy Saturday shift.",0.3923,True,1
R012,how,2,We discussed look-alike and sound-alike drugs in class today and reviewed some examples of errors that have occurred.,0.3187,True,1
R012,how,3,We also talked about strategies for preventing these types of mistakes.,0.2309,True,1
R013,what,1,I will try to pay attention to LASA medications at my internship.,0.1325,True,2
R013,what,2,"I am still developing my understanding of why this topic matters specifically to me as a future pharmacist, but I recognize that these errors are documented and cause harm.",0.071,True,2
R013,what,3,"In today's session, we covered the topic of look-alike/sound-alike medications, including specific ISMP-identified pairs and the strategies used to prevent errors — such as tall man lettering, physical separation, and electronic alerts.",0.0541,True,2
R013,why,1,I will try to pay attention to LASA medications at my internship.,0.1819,True,0
R013,why,2,"I am still developing my understanding of why this topic matters specifically to me as a future pharmacist, but I recognize that these errors are documented and cause harm.",0.1445,True,0
R013,why,3,"In today's session, we covered the topic of look-alike/sound-alike medications, including specific ISMP-identified pairs and the strategies used to prevent errors — such as tall man lettering, physical separation, and electronic alerts.",0.1138,True,0
R013,how,1,I will try to pay attention to LASA medications at my internship.,0.3824,True,1
R013,how,2,We also reviewed examples of mix-ups between oral medications with similar-looking tablets and between IV medications with similar vial sizes.,0.3444,True,1
R013,how,3,"I am still developing my understanding of why this topic matters specifically to me as a future pharmacist, but I recognize that these errors are documented and cause harm.",0.3047,True,1
R014,what,1,We went over some medication mix-up topics in class.,0.2632,True,0
R014,what,2,Understanding LASA errors is something I feel strongly about because I once witnessed my father receive the wrong medication at a retail pharmacy — a drug that sounded similar to his actual prescription.,0.1669,True,0
R014,what,3,That experience made me want to become a pharmacist who actively works to prevent these errors.,0.1192,True,0
R014,why,1,We went over some medication mix-up topics in class.,0.2511,True,2
R014,why,2,Understanding LASA errors is something I feel strongly about because I once witnessed my father receive the wrong medication at a retail pharmacy — a drug that sounded similar to his actual prescription.,0.1572,True,2
R014,why,3,I plan to specifically ask my preceptor at my upcoming rotation about the LASA protocols at their site.,0.1255,True,2
R014,how,1,We went over some medication mix-up topics in class.,0.5042,True,2
R014,how,2,That experience made me want to become a pharmacist who actively works to prevent these errors.,0.4308,True,2
R014,how,3,Understanding LASA errors is something I feel strongly about because I once witnessed my father receive the wrong medication at a retail pharmacy — a drug that sounded similar to his actual prescription.,0.307,True,2
