reflection_idx,what_mean,what_std,what_range,why_mean,why_std,why_range,how_mean,how_std,how_range,is_unstable
0,2.0,0.0,0,2.0,0.0,0,2.0,0.0,0,False
1,2.0,0.0,0,2.0,0.0,0,1.0,0.0,0,False
2,2.0,0.0,0,1.2,0.4,1,2.0,0.0,0,False
3,2.0,0.0,0,2.0,0.0,0,2.0,0.0,0,False
4,2.0,0.0,0,1.0,0.0,0,1.0,0.0,0,False
5,1.4,0.4898979485566356,1,1.0,0.0,0,1.0,0.0,0,False
6,1.0,0.0,0,0.6,0.48989794855663565,1,0.6,0.48989794855663565,1,False
7,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,False
8,2.0,0.0,0,2.0,0.0,0,2.0,0.0,0,False
9,2.0,0.0,0,2.0,0.0,0,1.0,0.0,0,False
