Reflection ID,Reflection,Score 1 (WHAT),Score 2 (WHY),Score 3 (HOW),Overall Score
25a,"In today's session, we did a deep dive into how the IHI Model for Improvement, and specifically the Plan-Do-Study-Act cycle, can be applied to the problem of medication reconciliation errors at care transitions. We learned that medication reconciliation, the process of comparing a patient's medication orders to all of the medications the patient has been taking, is one of the most error-prone steps in the care continuum, particularly at hospital admission, transfer, and discharge. The IHI framework begins with three foundational questions before any PDSA cycle is run: What are we trying to accomplish? How will we know that a change is an improvement? What changes can we make that will result in improvement? We worked through a case study in which a hospital pharmacy team used PDSA cycles to test a pharmacist-led medication history intake process at admission, measuring discrepancy rates before and after the intervention. The first cycle revealed that the new form was too long for patients with multiple chronic conditions, so the team adapted the form in the second cycle and saw a measurable reduction in undocumented discrepancies. This session was transformative for my professional development because it connected a quality improvement framework I had previously thought of as administrative to a concrete, high-stakes clinical problem I will face as a pharmacist. Medication reconciliation errors cause real patient harm, including duplicate therapies, missed doses of critical medications, and dangerous drug interactions that go undetected because the full medication picture was never assembled correctly. Understanding that I can use PDSA cycles to systematically test and refine my own reconciliation process, rather than hoping I get it right through experience alone, gives me a concrete method for improving over time. I also realized that pharmacists are uniquely positioned to lead reconciliation improvement projects because of our medication expertise and our role across all care settings. I will apply this by designing a small PDSA cycle at my internship site focused on medication reconciliation at patient discharge. Specifically, I will plan a structured reconciliation checklist to use during discharge counseling, do it with a defined set of patients over two weeks, study whether it reduces the number of discrepancies identified at the follow-up call, and act by refining the checklist based on what I learned before expanding use.",2,2,2,6
25b,"Today we learned how the IHI Model for Improvement and PDSA cycles can be applied to medication reconciliation, which is the process of reviewing and aligning a patient's full medication list at care transitions like admission and discharge. Medication reconciliation errors are a leading cause of patient harm, and PDSA cycles give pharmacy teams a structured way to test improvements, such as a pharmacist-led intake process, before rolling them out broadly. This matters to me because I will be directly involved in medication reconciliation at my internship, and understanding that I can test and iterate rather than implement untested changes all at once makes improvement feel more manageable. I plan to apply a basic PDSA approach to my own discharge reconciliation process at my internship, starting with a simple checklist to document discrepancies, tracking whether it changes what I catch, and adjusting the checklist based on what I learn.",2,2,2,6
25c,"In class we discussed how PDSA cycles from the IHI Model for Improvement can be used to address medication reconciliation errors. Medication reconciliation involves comparing what a patient is prescribed to what they are actually taking, and errors in this process can harm patients. The PDSA cycle helps teams test changes on a small scale before making them permanent. I know this is an important concept for pharmacy practice, and I will try to be careful about medication reconciliation during my rotations.",2,1,0,3
26a,"This session focused on two foundational components of the IHI Model for Improvement that are often underappreciated: writing effective aim statements and selecting meaningful measures of improvement. We learned that a well-constructed aim statement answers three specific questions: what exactly will be improved, by how much, and by when. Vague aim statements like 'improve patient safety' are not actionable and make it impossible to evaluate whether a change actually worked. We reviewed examples such as 'reduce the rate of dispensing errors caught at the final verification step by 25 percent within 90 days' as a strong aim versus 'reduce errors in the pharmacy' as a weak one. We also learned that the IHI framework distinguishes between three types of measures: outcome measures, which track the result you ultimately care about for patients; process measures, which track whether the intervention is actually being performed as intended; and balancing measures, which track whether fixing one part of the system creates a problem elsewhere. For instance, if a pharmacy implements a new barcode verification step to reduce dispensing errors, the outcome measure might be the dispensing error rate, the process measure might be the percentage of prescriptions scanned with the barcode, and the balancing measure might be the average fill time to ensure the new step does not create unacceptable delays. This session significantly advanced my understanding of quality improvement because I had previously thought of measurement as a bureaucratic requirement, but now I see it as the mechanism through which you know whether your effort actually helped. Without clear measures, a team can implement changes indefinitely and never know if patient outcomes improved. For pharmacists, this is especially important because we are often asked to participate in quality improvement committees and pharmacy and therapeutics reviews, and I will need to be able to evaluate whether proposed changes are backed by well-designed measurement. I will apply this by ensuring that any PDSA project I propose or contribute to during my internship includes all three measure types from the start. I will also practice writing aim statements using the IHI structure and ask my preceptor to critique them before I begin any small-scale test of change.",2,2,2,6
26b,"Today we learned about two key elements of the IHI Model for Improvement: aim statements and measurement. An effective aim statement specifies what will be improved, by how much, and by when, which gives the team a clear target. The IHI framework also categorizes measures into outcome, process, and balancing measures, which together give a fuller picture of whether a change is working and whether it is creating unintended problems. This is important because without specific aims and the right measures, a quality improvement effort may produce changes that seem useful but do not actually improve patient outcomes or may inadvertently create new problems. I want to use this framework during my rotations by writing a clear aim statement before I start any PDSA project and by identifying at least one outcome and one balancing measure so I can evaluate whether my intervention is helping without creating new issues elsewhere in the workflow.",2,2,1,5
26c,"Today's session was about the IHI Model for Improvement, specifically about how to write aim statements and choose measurements. We learned that aim statements should be specific about what you want to improve and that there are different kinds of measures like outcome and process measures. This is important because measuring change helps us know if an improvement is working. In my future practice I will try to apply these concepts when I am involved in quality improvement work.",1,1,1,3
27a,"In today's class we examined one of the more advanced but critically important aspects of the IHI Model for Improvement: spreading and sustaining changes that have been validated through PDSA cycles. We learned that the IHI framework treats spread not as an automatic step after a successful test, but as a deliberate process that requires its own planning. Key principles of spread include identifying and engaging the populations and settings where the change will be implemented, ensuring that the people who will carry out the change understand the evidence behind it, adapting the change for new contexts without losing its essential components, and building in ongoing measurement to detect whether the change remains effective over time. We reviewed a case study of a community pharmacy chain that successfully used PDSA cycles to reduce patient wait times at one high-volume location and then attempted to spread the intervention to ten other sites. The spread effort partially failed because the team assumed that what worked in one location would work identically in others without adapting to differences in staffing models and patient volume patterns. This was a pivotal insight: a validated improvement is only as durable as the system it is embedded in, and spread requires the same iterative thinking as initial testing. This learning matters enormously to my development as a pharmacist because it dismantles a naive assumption I had held, which was that if something works once, you simply repeat it. Real quality improvement requires attention to context, adaptation, and sustained monitoring. As someone who may eventually move between practice sites or take on leadership roles, I need to understand how to transfer improvements across settings rather than starting from scratch each time. I will apply this at my internship by asking my preceptor to show me examples of quality improvement initiatives that were spread across the practice site and discussing what adaptations were made between the pilot and the full rollout. I will also pay attention to whether any implemented changes are still being actively monitored or whether measurement stopped after the initial improvement was declared.",2,2,2,6
27b,"Today's session covered how the IHI Model for Improvement handles the spread and sustainability of changes after successful PDSA testing. We learned that spreading a validated improvement to new settings is not automatic and requires deliberate planning, including adapting the intervention to fit different contexts and maintaining ongoing measurement to ensure the change sticks. A case example showed how a pharmacy improvement that reduced wait times at one site failed to spread effectively to others because staff and workflow differences were not accounted for. This is important to me because it shows that quality improvement is not a one-time project but an ongoing process, and that context matters when applying interventions across different practice settings. To apply this, I will ask my preceptor at my internship about examples of improvements that were spread across departments and learn what adjustments were made to make them work in different areas of the pharmacy.",2,2,2,6
27c,"We talked about spreading improvements in healthcare using the IHI framework. After testing a change with PDSA cycles, the next step is to spread it to other settings. This is important because healthcare systems are complex and improvements need to be applied more broadly to help more patients. I will keep this in mind during my rotations and look for opportunities to spread good practices I observe.",1,1,0,2
28a,"This session applied the IHI Model for Improvement specifically to the domain of patient medication counseling and education, an area where pharmacists have a direct and measurable impact on patient outcomes. We learned that the quality of medication counseling, including whether patients actually understand their dosing schedule, potential side effects, and what to do if they miss a dose, is highly variable and rarely systematically measured. Using the three IHI questions as a framework, we workshopped how a pharmacy team might structure a quality improvement initiative around counseling: the aim could be to increase the proportion of patients who can correctly recall the purpose and dosing schedule of a newly dispensed medication immediately after counseling from a baseline of 40 percent to 75 percent within 60 days. We then walked through how PDSA cycles could test different counseling approaches, such as a structured teach-back method or a simplified medication information card, measuring recall rates after each cycle before scaling up the most effective approach. We also discussed how the IHI model could be used to address health literacy disparities, by testing counseling adaptations specifically designed for patients with low literacy or language barriers and measuring whether those adaptations narrow the gap in recall rates. This session deepened my understanding of the pharmacist's clinical role because it showed me that counseling is not simply an interpersonal skill that improves with experience. It is a process that can be designed, measured, and systematically improved using the same quality improvement tools used in high-stakes medication safety interventions. I had previously thought of counseling as something I would get better at intuitively over time, but this session challenged me to think about how I can evaluate whether patients are actually retaining the information I provide, and to adapt my approach based on evidence rather than comfort. I will apply this by designing a small PDSA project during my internship focused on new prescription counseling. I will plan a structured teach-back approach for one class of medications, such as anticoagulants, do it consistently over two weeks, study whether patients at their follow-up contact or callback can correctly answer two key questions about their medication, and act by refining the counseling script or tools based on what I observe. I will share my findings with my preceptor and ask whether the method could be adopted more broadly at the site.",2,2,2,6
